Labels,DRFN50M00t4R3,
Type,Emission Scan,
Comment,,
Start,495.00,
Stop,525.00,
Step,1.00,
Fixed/Offset,468.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,1.00,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

495.00,8.01230156E+4,
496.00,8.07862813E+4,
497.00,8.09578359E+4,
498.00,8.20245938E+4,
499.00,8.30888047E+4,
500.00,8.41292578E+4,
501.00,8.43500313E+4,
502.00,8.49855391E+4,
503.00,8.62113906E+4,
504.00,8.68602109E+4,
505.00,8.73702969E+4,
506.00,8.84273750E+4,
507.00,8.89083047E+4,
508.00,8.92946719E+4,
509.00,8.94337344E+4,
510.00,8.95090781E+4,
511.00,8.88465625E+4,
512.00,8.80845156E+4,
513.00,8.79297734E+4,
514.00,8.74410156E+4,
515.00,8.57400469E+4,
516.00,8.46916328E+4,
517.00,8.38795625E+4,
518.00,8.21096016E+4,
519.00,8.11222266E+4,
520.00,7.95316875E+4,
521.00,7.75464766E+4,
522.00,7.57314219E+4,
523.00,7.35532188E+4,
524.00,7.11576797E+4,
525.00,6.97568125E+4,
